"county","tract","bg","cbsa","pop10","afact"
"County code","Tract","Block group","CBSA (current)","Population (2010)","bg to cbsa allocation factor"
"01005","9505.00","3","21640",1136,1 
"01005","9506.00","1","21640",659,1 
"01005","9506.00","2","21640",1440,1 
"01005","9507.00","1","21640",727,1 
"01005","9507.00","2","21640",1000,1 
"01005","9508.00","1","21640",799,1 
"01005","9508.00","2","21640",1256,1 
"01005","9509.00","1","21640",1556,1 
"01005","9509.00","2","21640",1985,1 
"01005","9509.00","3","21640",1042,1 
"01007","0100.01","1","13820",1825,1 
"01007","0100.01","2","13820",907,1 
"01007","0100.02","1","13820",2504,1 
"01007","0100.02","2","13820",1739,1 
"01007","0100.02","3","13820",1782,1 
"01007","0100.03","1","13820",885,1 
"01007","0100.03","2","13820",975,1 
"01007","0100.03","3","13820",1828,1 
"01007","0100.03","4","13820",1703,1 
"01007","0100.04","1","13820",879,1 
"01007","0100.04","2","13820",1268,1 
"01007","0100.04","3","13820",904,1 
"01007","0100.04","4","13820",3120,1 
"01007","0100.04","5","13820",1153,1 
"01007","0100.04","6","13820",1443,1 
"01009","0501.01","1","13820",1308,1 
"01009","0501.01","2","13820",1726,1 
"01009","0501.01","3","13820",1780,1 
"01009","0501.01","4","13820",1269,1 
"01009","0501.01","5","13820",1775,1 
"01009","0501.02","1","13820",1342,1 
"01009","0501.02","2","13820",2390,1 
"01009","0501.02","3","13820",1338,1 
"01009","0501.02","4","13820",1980,1 
"01009","0502.00","1","13820",1851,1 
"01009","0502.00","2","13820",1938,1 
"01009","0503.00","1","13820",1442,1 
"01009","0503.00","2","13820",1179,1 
"01009","0503.00","3","13820",1335,1 
"01009","0503.00","4","13820",1313,1 
"01009","0504.00","1","13820",781,1 
"01009","0504.00","2","13820",1627,1 
"01009","0504.00","3","13820",1073,1 
"01009","0504.00","4","13820",970,1 
"01009","0505.00","1","13820",1072,1 
"01009","0505.00","2","13820",1403,1 
"01009","0505.00","3","13820",1689,1 
"01009","0505.00","4","13820",868,1 
"01009","0505.00","5","13820",2297,1 
"01009","0506.01","1","13820",3035,1 
"01009","0506.01","2","13820",887,1 
"01009","0506.02","1","13820",986,1 
"01009","0506.02","2","13820",2526,1 
"01009","0506.02","3","13820",909,1 
"01009","0506.02","4","13820",2593,1 
"01009","0506.02","5","13820",1909,1 
"01009","0507.00","1","13820",3122,1 
"01009","0507.00","2","13820",2229,1 
"01009","0507.00","3","13820",2094,1 
"01009","0507.00","4","13820",1286,1 
"01011","9521.00","1"," ",1434,1 
"01011","9522.00","1"," ",2928,1 
"01011","9522.00","2"," ",1490,1 
"01011","9522.00","3"," ",2684,1 
"01011","9525.00","1"," ",750,1 
"01011","9525.00","2"," ",809,1 
"01011","9525.00","3"," ",819,1 
"01013","9527.00","1"," ",1697,1 
"01013","9527.00","2"," ",742,1 
"01013","9528.00","1"," ",1394,1 
"01013","9529.00","1"," ",798,1 
"01013","9529.00","2"," ",1382,1 
"01013","9530.00","1"," ",729,1 
"01013","9530.00","2"," ",740,1 
"01013","9531.00","1"," ",1284,1 
"01013","9531.00","2"," ",983,1 
"01013","9531.00","3"," ",756,1 
"01013","9532.00","1"," ",601,1 
"01013","9532.00","2"," ",1212,1 
"01013","9532.00","3"," ",1700,1 
"01013","9532.00","4"," ",814,1 
"01013","9533.00","1"," ",1002,1 
"01013","9533.00","2"," ",772,1 
"01013","9534.00","1"," ",1619,1 
"01013","9534.00","2"," ",1312,1 
"01013","9535.00","1"," ",1410,1 
"01015","0002.00","1","11500",1226,1 
"01015","0002.00","2","11500",1878,1 
"01015","0003.00","1","11500",1269,1 
"01015","0003.00","2","11500",1682,1 
"01015","0004.00","1","11500",1091,1 
"01015","0004.00","2","11500",643,1 
"01015","0004.00","3","11500",1078,1 
"01015","0005.00","1","11500",880,1 
"01015","0005.00","2","11500",934,1 
"01015","0006.00","1","11500",1473,1 
"01015","0006.00","2","11500",718,1 
"01015","0007.00","1","11500",768,1 
"01015","0007.00","2","11500",1312,1 
"01015","0007.00","3","11500",635,1 
"01015","0008.00","1","11500",1379,1 
"01015","0009.00","1","11500",833,1 
"01015","0009.00","2","11500",1458,1 
"01015","0009.00","3","11500",1071,1 
"01015","0010.00","1","11500",1662,1 
"01015","0010.00","2","11500",1535,1 
"01015","0010.00","3","11500",999,1 
"01015","0010.00","4","11500",1596,1 
"01015","0011.00","1","11500",1854,1 
"01015","0011.00","2","11500",2518,1 
"01015","0011.00","3","11500",1121,1 
"01015","0011.00","4","11500",1072,1 
"01015","0012.01","1","11500",2009,1 
"01015","0012.01","2","11500",1473,1 
"01015","0012.02","1","11500",1491,1 
"01015","0012.02","2","11500",1038,1 
"01015","0012.02","3","11500",1789,1 
"01015","0013.00","1","11500",1272,1 
"01015","0013.00","2","11500",939,1 
"01015","0014.00","1","11500",806,1 
"01015","0014.00","2","11500",926,1 
"01015","0014.00","3","11500",1169,1 
"01015","0014.00","4","11500",830,1 
"01015","0015.00","1","11500",1852,1 
"01015","0015.00","2","11500",2099,1 
"01015","0015.00","3","11500",1247,1 
"01015","0016.00","1","11500",733,1 
"01015","0016.00","2","11500",1156,1 
"01015","0016.00","3","11500",1009,1 
"01015","0016.00","4","11500",893,1 
"01015","0017.00","1","11500",1924,1 
"01015","0017.00","2","11500",2160,1 
"01015","0017.00","3","11500",1475,1 
"01015","0017.00","4","11500",770,1 
"01015","0018.00","1","11500",1232,1 
"01015","0018.00","2","11500",1363,1 
"01015","0018.00","3","11500",1365,1 
"01015","0018.00","4","11500",1129,1 
"01015","0018.00","5","11500",855,1 
"01015","0018.00","6","11500",975,1 
"01015","0020.00","1","11500",2148,1 
"01015","0020.00","2","11500",1234,1 
